id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,548.356,83.69,461.156,81.18,3.868,8.62,↓
2,БДДР,Бели Искър,15.08,1.4,10.622,70.44,9.222,67.41,0.741,1.562,↓
3,БДДР,Среченска бара,15.5,1.0,15.114,97.51,14.114,97.34,0.347,0.671,↓
4,БДДР,Христо Смирненски,27.7,4.2,20.122,72.64,15.922,67.75,0.05,0.3,↓
5,БДДР,Йовковци,92.179,9.0,85.194,92.42,76.194,91.6,0.214,0.843,↓
6,БДЧР,Тича,311.8,40.0,239.53,76.82,199.53,73.41,0.054,3.093,↓
7,БДЧР,Камчия,233.55,76.0,206.102,88.25,130.102,82.58,0.012,2.847,↓
8,БДЧР,Ясна поляна,32.32,7.55,19.637,60.76,12.087,48.8,0.012,0.394,↓
9,БДИБР,Асеновец,28.2,2.0,18.647,66.12,16.647,63.54,0.093,0.706,↓
10,БДИБР,Боровица,27.3,4.6,25.526,93.5,20.926,92.19,0.101,0.39,↓
11,БДЗБР,Студена,25.2,2.4,22.09,87.66,19.69,86.36,0.215,0.729,↓
12,БДЗБР,Дяково,35.4,8.0,28.283,79.89,20.283,74.02,0.012,0.65,↓
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.804,78.49,0.704,76.16,,,↓
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.735,77.02,1.535,74.79,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,18.312,57.95,15.812,54.34,0.125,0.335,↓
16,БДДР,Панчарево,6.465,1.5,5.374,83.12,3.874,78.02,6.353,7.219,᷆
17,БДДР,Ястребино,62.3,3.9,35.474,56.94,31.574,54.07,0.116,1.169,↓
18,БДДР,Кула,20.25,0.7,7.918,39.1,7.218,36.92,0.023,0.15,↓
19,БДДР,Рабиша,43.2,2.4,12.674,29.34,10.274,25.18,0.0,0.035,↓
20,БДДР,Огоста,506.0,67.0,242.42,47.91,175.42,39.96,0.926,6.134,↓
21,БДДР,Сопот,60.908,1.3,35.569,58.4,34.269,57.49,1.042,2.951,↓
22,БДДР,Горни Дъбник,130.0,3.0,49.167,37.82,46.167,36.35,0.81,1.47,↓
23,БДДР,Бели Лом,25.5,3.2,8.63,33.84,5.43,24.35,0.104,0.324,↓
24,БДЧР,Съединение,12.81,1.5,8.285,64.68,6.785,59.99,0.012,0.116,↓
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,190.46,57.72,169.46,54.84,0.478,3.487,↓
26,БДЧР,Порой,45.2,2.0,4.748,10.5,2.748,6.36,0.092,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,2.864,23.19,2.064,17.87,0.012,0.035,↓
28,БДИБР,Жребчево,400.0,30.0,158.005,39.5,128.005,34.6,0.01,8.969,↓
29,БДИБР,Малко Шарково,45.0,3.9,34.11,75.8,30.21,73.5,0.093,0.093,~
30,БДИБР,Домлян,26.074,0.7,7.536,28.9,6.836,26.94,0.701,1.078,↓
31,БДИБР,Пясъчник,206.53,3.4,29.276,14.18,25.876,12.74,0.739,0.207,↑
32,БДИБР,Тополница,137.108,20.0,34.653,25.27,14.653,12.51,3.97,9.769,↓
33,БДИБР,Тракиец,114.0,24.0,66.62,58.44,42.62,47.36,0.012,0.891,↓
34,БДЗБР,Пчелина,54.2,34.2,53.9,99.45,19.7,98.5,3.438,3.438,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,123.7,60.17,103.7,55.88,0.369,2.186,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,21.411,15.06,16.001,11.7,0.103,8.571,↓
38,БДИБР,Белмекен,144.036,3.81,114.057,79.19,110.247,78.62,,,↑
39,БДИБР,Чаира,5.5,1.369,2.39,43.46,1.021,24.73,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,46.108,74.24,42.166,72.49,,,↑
41,БДИБР,Широка поляна,23.98,3.3,13.561,56.55,10.261,49.62,,,↓
42,БДИБР,Беглика,1.554,0.242,0.985,63.39,0.743,56.64,0.035,0.006,↑
43,БДИБР,Тошков Чарк,1.782,0.276,0.61,34.22,0.334,22.16,0.38,0.504,↓
44,БДИБР,Батак,310.298,19.95,185.16,59.67,165.21,56.9,2.874,6.067,↓
45,БДЗБР,Доспат,449.249,14.907,358.061,79.7,343.154,79.01,1.888,6.628,↓
46,БДИБР,Цанков камък,110.708,31.2,84.279,76.13,53.079,66.76,10.194,7.785,↑
47,БДИБР,Въча,226.12,24.52,176.58,78.09,152.06,75.43,9.211,6.294,↑
48,БДИБР,Кричим,20.256,1.73,19.139,94.49,17.409,93.97,5.878,4.678,↑
49,БДИБР,Кърджали,497.236,107.176,365.861,73.58,258.685,66.32,3.721,8.396,↓
50,БДИБР,Студен кладенец,387.772,90.667,251.943,64.97,161.276,54.28,7.005,12.009,↓
51,БДИБР,Ивайловград,156.702,59.526,139.962,89.32,80.436,82.77,12.349,10.705,↑
52,БДИБР,Розов кладенец,20.4,13.268,17.988,88.18,4.72,66.18,,,↓
